10.0.5.0/24 "AZ Shea DC /30 and /32 Loopbacks XConnects "
10.199.12.252/30 "10.199.12.0 /24 Retail /30 "
10.199.12.40/30 "10.199.12.0 /24 Retail /30 "
10.199.12.56/30 "10.199.12.0 /24 Retail /30 "
10.199.12.60/30 "10.199.12.0 /24 Retail /30 "
10.199.12.64/30 "10.199.12.0 /24 Retail /30 "
10.199.12.76/30 "10.199.12.0 /24 Retail /30 "
10.199.12.8/30 "10.199.12.0 /24 Retail /30 "
10.199.12.80/30 "10.199.12.0 /24 Retail /30 "
10.199.12.88/30 "10.199.12.0 /24 Retail /30 "
10.199.128.128/25 "VZ Private 5g "
10.199.254.0/24 "10.199.254.0 /24 Routers "
10.199.254.0/30 "Retail Misc Routers /30 "
10.199.254.100/30 "Retail Misc Routers /30 "
10.199.254.104/30 "Retail Misc Routers /30 "
10.199.254.108/30 "Retail Misc Routers /30 "
10.199.254.112/30 "Retail Misc Routers /30 "
10.199.254.116/30 "Retail Misc Routers /30 "
10.199.254.12/30 "Retail Misc Routers /30 "
10.199.254.120/30 "Retail Misc Routers /30 "
10.199.254.124/30 "Retail Misc Routers /30 "
10.199.254.128/30 "Retail Misc Routers /30 "
10.199.254.132/30 "Retail Misc Routers /30 "
10.199.254.136/30 "Retail Misc Routers /30 "
10.199.254.140/30 "Retail Misc Routers /30 "
10.199.254.144/30 "Retail Misc Routers /30 "
10.199.254.148/30 "Retail Misc Routers /30 "
10.199.254.152/30 "Retail Misc Routers /30 "
10.199.254.156/30 "Retail Misc Routers /30 "
10.199.254.16/30 "Retail Misc Routers /30 "
10.199.254.160/30 "Retail Misc Routers /30 "
10.199.254.164/30 "Retail Misc Routers /30 "
10.199.254.168/30 "Retail Misc Routers /30 "
10.199.254.172/30 "Retail Misc Routers /30 "
10.199.254.176/30 "Retail Misc Routers /30 "
10.199.254.180/30 "Retail Misc Routers /30 "
10.199.254.184/30 "Retail Misc Routers /30 "
10.199.254.188/30 "Retail Misc Routers /30 "
10.199.254.192/30 "Retail Misc Routers /30 "
10.199.254.196/30 "Retail Misc Routers /30 "
10.199.254.20/30 "Retail Misc Routers /30 "
10.199.254.200/30 "Retail Misc Routers /30 "
10.199.254.204/30 "Retail Misc Routers /30 "
10.199.254.208/30 "Retail Misc Routers /30 "
10.199.254.212/30 "Retail Misc Routers /30 "
10.199.254.216/30 "Retail Misc Routers /30 "
10.199.254.220/30 "Retail Misc Routers /30 "
10.199.254.224/30 "Retail Misc Routers /30 "
10.199.254.228/30 "Retail Misc Routers /30 "
10.199.254.232/30 "Retail Misc Routers /30 "
10.199.254.236/30 "Retail Misc Routers /30 "
10.199.254.24/30 "Retail Misc Routers /30 "
10.199.254.240/30 "Retail Misc Routers /30 "
10.199.254.244/30 "Retail Misc Routers /30 "
10.199.254.248/30 "Retail Misc Routers /30 "
10.199.254.252/30 "Retail Misc Routers /30 "
10.199.254.28/30 "Retail Misc Routers /30 "
10.199.254.32/30 "Retail Misc Routers /30 "
10.199.254.36/30 "Retail Misc Routers /30 "
10.199.254.4/30 "Retail Misc Routers /30 "
10.199.254.40/30 "Retail Misc Routers /30 "
10.199.254.44/30 "Retail Misc Routers /30 "
10.199.254.48/30 "Retail Misc Routers /30 "
10.199.254.52/30 "Retail Misc Routers /30 "
10.199.254.56/30 "Retail Misc Routers /30 "
10.199.254.60/30 "Retail Misc Routers /30 "
10.199.254.64/30 "Retail Misc Routers /30 "
10.199.254.68/30 "Retail Misc Routers /30 "
10.199.254.72/30 "Retail Misc Routers /30 "
10.199.254.76/30 "Retail Misc Routers /30 "
10.199.254.8/30 "Retail Misc Routers /30 "
10.199.254.80/30 "Retail Misc Routers /30 "
10.199.254.84/30 "Retail Misc Routers /30 "
10.199.254.88/30 "Retail Misc Routers /30 "
10.199.254.92/30 "Retail Misc Routers /30 "
10.199.254.96/30 "Retail Misc Routers /30 "
10.23.0.0/16 "Retail Firewall "
10.23.0.0/24 "Retail Firewall "
10.23.1.0/24 "Retail Firewall "
10.23.10.0/24 "Retail Firewall "
10.23.100.0/24 "Retail Firewall "
10.23.101.0/24 "Retail Firewall "
10.23.102.0/24 "Retail Firewall "
10.23.103.0/24 "Retail Firewall "
10.23.104.0/24 "Retail Firewall "
10.23.105.0/24 "Retail Firewall "
10.23.106.0/24 "Retail Firewall "
10.23.107.0/24 "Retail Firewall "
10.23.108.0/24 "Retail Firewall "
10.23.109.0/24 "Retail Firewall "
10.23.11.0/24 "Retail Firewall "
10.23.110.0/24 "Retail Firewall "
10.23.111.0/24 "Retail Firewall "
10.23.112.0/24 "Retail Firewall "
10.23.113.0/24 "Retail Firewall "
10.23.114.0/24 "Retail Firewall "
10.23.115.0/24 "Retail Firewall "
10.23.116.0/24 "Retail Firewall "
10.23.117.0/24 "Retail Firewall "
10.23.118.0/24 "Retail Firewall "
10.23.119.0/24 "Retail Firewall "
10.23.12.0/24 "Retail Firewall "
10.23.120.0/24 "Retail Firewall "
10.23.121.0/24 "Retail Firewall "
10.23.122.0/24 "Retail Firewall "
10.23.123.0/24 "Retail Firewall "
10.23.124.0/24 "Retail Firewall "
10.23.125.0/24 "Retail Firewall "
10.23.126.0/24 "Retail Firewall "
10.23.127.0/24 "Retail Firewall "
10.23.128.0/24 "Retail Firewall "
10.23.129.0/24 "Retail Firewall "
10.23.13.0/24 "Retail Firewall "
10.23.130.0/24 "Retail Firewall "
10.23.131.0/24 "Retail Firewall "
10.23.132.0/24 "Retail Firewall "
10.23.133.0/24 "Retail Firewall "
10.23.134.0/24 "Retail Firewall "
10.23.135.0/24 "Retail Firewall "
10.23.136.0/24 "Retail Firewall "
10.23.137.0/24 "Retail Firewall "
10.23.138.0/24 "Retail Firewall "
10.23.139.0/24 "Retail Firewall "
10.23.14.0/24 "Retail Firewall "
10.23.140.0/24 "Retail Firewall "
10.23.141.0/24 "Retail Firewall "
10.23.142.0/24 "Retail Firewall "
10.23.143.0/24 "Retail Firewall "
10.23.144.0/24 "Retail Firewall "
10.23.145.0/24 "Retail Firewall "
10.23.146.0/24 "Retail Firewall "
10.23.147.0/24 "Retail Firewall "
10.23.148.0/24 "Retail Firewall "
10.23.149.0/24 "Retail Firewall "
10.23.15.0/24 "Retail Firewall "
10.23.150.0/24 "Retail Firewall "
10.23.151.0/24 "Retail Firewall "
10.23.152.0/24 "Retail Firewall "
10.23.153.0/24 "Retail Firewall "
10.23.154.0/24 "Retail Firewall "
10.23.155.0/24 "Retail Firewall "
10.23.156.0/24 "Retail Firewall "
10.23.157.0/24 "Retail Firewall "
10.23.158.0/24 "Retail Firewall "
10.23.159.0/24 "Retail Firewall "
10.23.16.0/24 "Retail Firewall "
10.23.160.0/24 "Retail Firewall "
10.23.161.0/24 "Retail Firewall "
10.23.162.0/24 "Retail Firewall "
10.23.163.0/24 "Retail Firewall "
10.23.164.0/24 "Retail Firewall "
10.23.165.0/24 "Retail Firewall "
10.23.166.0/24 "Retail Firewall "
10.23.167.0/24 "Retail Firewall "
10.23.168.0/24 "Retail Firewall "
10.23.169.0/24 "Retail Firewall "
10.23.17.0/24 "Retail Firewall "
10.23.170.0/24 "Retail Firewall "
10.23.171.0/24 "Retail Firewall "
10.23.172.0/24 "Retail Firewall "
10.23.173.0/24 "Retail Firewall "
10.23.174.0/24 "Retail Firewall "
10.23.175.0/24 "Retail Firewall "
10.23.176.0/24 "Retail Firewall "
10.23.177.0/24 "Retail Firewall "
10.23.178.0/24 "Retail Firewall "
10.23.179.0/24 "Retail Firewall "
10.23.18.0/24 "Retail Firewall "
10.23.180.0/24 "Retail Firewall "
10.23.181.0/24 "Retail Firewall "
10.23.182.0/24 "Retail Firewall "
10.23.183.0/24 "Retail Firewall "
10.23.184.0/24 "Retail Firewall "
10.23.185.0/24 "Retail Firewall "
10.23.186.0/24 "Retail Firewall "
10.23.187.0/24 "Retail Firewall "
10.23.188.0/24 "Retail Firewall "
10.23.189.0/24 "Retail Firewall "
10.23.19.0/24 "Retail Firewall "
10.23.190.0/24 "Retail Firewall "
10.23.191.0/24 "Retail Firewall "
10.23.192.0/24 "Retail Firewall "
10.23.193.0/24 "Retail Firewall "
10.23.194.0/24 "Retail Firewall "
10.23.195.0/24 "Retail Firewall "
10.23.196.0/24 "Retail Firewall "
10.23.197.0/24 "Retail Firewall "
10.23.198.0/24 "Retail Firewall "
10.23.199.0/24 "Retail Firewall "
10.23.2.0/24 "Retail Firewall "
10.23.20.0/24 "Retail Firewall "
10.23.200.0/24 "Retail Firewall "
10.23.201.0/24 "Retail Firewall "
10.23.202.0/24 "Retail Firewall "
10.23.203.0/24 "Retail Firewall "
10.23.204.0/24 "Retail Firewall "
10.23.205.0/24 "Retail Firewall "
10.23.206.0/24 "Retail Firewall "
10.23.207.0/24 "Retail Firewall "
10.23.208.0/24 "Retail Firewall "
10.23.209.0/24 "Retail Firewall "
10.23.21.0/24 "Retail Firewall "
10.23.210.0/24 "Retail Firewall "
10.23.211.0/24 "Retail Firewall "
10.23.212.0/24 "Retail Firewall "
10.23.213.0/24 "Retail Firewall "
10.23.214.0/24 "Retail Firewall "
10.23.215.0/24 "Retail Firewall "
10.23.216.0/24 "Retail Firewall "
10.23.217.0/24 "Retail Firewall "
10.23.218.0/24 "Retail Firewall "
10.23.219.0/24 "Retail Firewall "
10.23.22.0/24 "Retail Firewall "
10.23.220.0/24 "Retail Firewall "
10.23.221.0/24 "Retail Firewall "
10.23.222.0/24 "Retail Firewall "
10.23.223.0/24 "Retail Firewall "
10.23.224.0/24 "Retail Firewall "
10.23.225.0/24 "Retail Firewall "
10.23.226.0/24 "Retail Firewall "
10.23.227.0/24 "Retail Firewall "
10.23.228.0/24 "Retail Firewall "
10.23.229.0/24 "Retail Firewall "
10.23.23.0/24 "Retail Firewall "
10.23.230.0/24 "Retail Firewall "
10.23.231.0/24 "Retail Firewall "
10.23.232.0/24 "Retail Firewall "
10.23.233.0/24 "Retail Firewall "
10.23.234.0/24 "Retail Firewall "
10.23.235.0/24 "Retail Firewall "
10.23.236.0/24 "Retail Firewall "
10.23.237.0/24 "Retail Firewall "
10.23.238.0/24 "Retail Firewall "
10.23.239.0/24 "Retail Firewall "
10.23.24.0/24 "Retail Firewall "
10.23.240.0/24 "Retail Firewall "
10.23.241.0/24 "Retail Firewall "
10.23.242.0/24 "Retail Firewall "
10.23.243.0/24 "Retail Firewall "
10.23.244.0/24 "Retail Firewall "
10.23.245.0/24 "Retail Firewall "
10.23.246.0/24 "Retail Firewall "
10.23.247.0/24 "Retail Firewall "
10.23.248.0/24 "Retail Firewall "
10.23.249.0/24 "Retail Firewall "
10.23.25.0/24 "Retail Firewall "
10.23.250.0/24 "Retail Firewall "
10.23.251.0/24 "Retail Firewall "
10.23.252.0/24 "Retail Firewall "
10.23.253.0/24 "Retail Firewall "
10.23.254.0/24 "Retail Firewall "
10.23.255.0/24 "Retail Firewall "
10.23.26.0/24 "Retail Firewall "
10.23.27.0/24 "Retail Firewall "
10.23.28.0/24 "Retail Firewall "
10.23.29.0/24 "Retail Firewall "
10.23.3.0/24 "Retail Firewall "
10.23.30.0/24 "Retail Firewall "
10.23.31.0/24 "Retail Firewall "
10.23.32.0/24 "Retail Firewall "
10.23.33.0/24 "Retail Firewall "
10.23.34.0/24 "Retail Firewall "
10.23.35.0/24 "Retail Firewall "
10.23.36.0/24 "Retail Firewall "
10.23.37.0/24 "Retail Firewall "
10.23.38.0/24 "Retail Firewall "
10.23.39.0/24 "Retail Firewall "
10.23.4.0/24 "Retail Firewall "
10.23.40.0/24 "Retail Firewall "
10.23.41.0/24 "Retail Firewall "
10.23.42.0/24 "Retail Firewall "
10.23.43.0/24 "Retail Firewall "
10.23.44.0/24 "Retail Firewall "
10.23.45.0/24 "Retail Firewall "
10.23.46.0/24 "Retail Firewall "
10.23.47.0/24 "Retail Firewall "
10.23.48.0/24 "Retail Firewall "
10.23.49.0/24 "Retail Firewall "
10.23.5.0/24 "Retail Firewall "
10.23.50.0/24 "Retail Firewall "
10.23.51.0/24 "Retail Firewall "
10.23.52.0/24 "Retail Firewall "
10.23.53.0/24 "Retail Firewall "
10.23.54.0/24 "Retail Firewall "
10.23.55.0/24 "Retail Firewall "
10.23.56.0/24 "Retail Firewall "
10.23.57.0/24 "Retail Firewall "
10.23.58.0/24 "Retail Firewall "
10.23.59.0/24 "Retail Firewall "
10.23.6.0/24 "Retail Firewall "
10.23.60.0/24 "Retail Firewall "
10.23.61.0/24 "Retail Firewall "
10.23.62.0/24 "Retail Firewall "
10.23.63.0/24 "Retail Firewall "
10.23.64.0/24 "Retail Firewall "
10.23.65.0/24 "Retail Firewall "
10.23.66.0/24 "Retail Firewall "
10.23.67.0/24 "Retail Firewall "
10.23.68.0/24 "Retail Firewall "
10.23.69.0/24 "Retail Firewall "
10.23.7.0/24 "Retail Firewall "
10.23.70.0/24 "Retail Firewall "
10.23.71.0/24 "Retail Firewall "
10.23.72.0/24 "Retail Firewall "
10.23.73.0/24 "Retail Firewall "
10.23.74.0/24 "Retail Firewall "
10.23.75.0/24 "Retail Firewall "
10.23.76.0/24 "Retail Firewall "
10.23.77.0/24 "Retail Firewall "
10.23.78.0/24 "Retail Firewall "
10.23.79.0/24 "Retail Firewall "
10.23.8.0/24 "Retail Firewall "
10.23.80.0/24 "Retail Firewall "
10.23.81.0/24 "Retail Firewall "
10.23.82.0/24 "Retail Firewall "
10.23.83.0/24 "Retail Firewall "
10.23.84.0/24 "Retail Firewall "
10.23.85.0/24 "Retail Firewall "
10.23.86.0/24 "Retail Firewall "
10.23.87.0/24 "Retail Firewall "
10.23.88.0/24 "Retail Firewall "
10.23.89.0/24 "Retail Firewall "
10.23.9.0/24 "Retail Firewall "
10.23.90.0/24 "Retail Firewall "
10.23.91.0/24 "Retail Firewall "
10.23.92.0/24 "Retail Firewall "
10.23.93.0/24 "Retail Firewall "
10.23.94.0/24 "Retail Firewall "
10.23.95.0/24 "Retail Firewall "
10.23.96.0/24 "Retail Firewall "
10.23.97.0/24 "Retail Firewall "
10.23.98.0/24 "Retail Firewall "
10.23.99.0/24 "Retail Firewall "
10.237.0.0/16 "Minute Clinic prefixes (I think these are allocated as 26 bit prefixes for the first block of Minute Clinics) "
10.237.0.0/21 "Minute Clinic CIR Block#1 "
10.237.104.0/21 "Minute Clinic CIR Block#1 "
10.237.112.0/21 "Minute Clinic CIR Block#1 "
10.237.120.0/21 "Minute Clinic CIR Block#1 "
10.237.128.0/21 "Minute Clinic CIR Block#1 "
10.237.136.0/21 "Minute Clinic CIR Block#1 "
10.237.144.0/21 "Minute Clinic CIR Block#1 "
10.237.152.0/21 "Minute Clinic CIR Block#1 "
10.237.16.0/21 "Minute Clinic CIR Block#1 "
10.237.160.0/21 "Minute Clinic CIR Block#1 "
10.237.168.0/21 "Minute Clinic CIR Block#1 "
10.237.176.0/21 "Minute Clinic CIR Block#1 "
10.237.184.0/21 "Minute Clinic CIR Block#1 "
10.237.192.0/21 "Minute Clinic CIR Block#1 "
10.237.200.0/21 "Minute Clinic CIR Block#1 "
10.237.208.0/21 "Minute Clinic CIR Block#1 "
10.237.216.0/21 "Minute Clinic CIR Block#1 "
10.237.224.0/21 "Minute Clinic CIR Block#1 "
10.237.232.0/21 "Minute Clinic CIR Block#1 "
10.237.24.0/21 "Minute Clinic CIR Block#1 "
10.237.240.0/21 "Minute Clinic CIR Block#1 "
10.237.248.0/24 "Minute Clinic CIR Block#1 "
10.237.249.0/24 "Minute Clinic CIR Block#1 "
10.237.250.0/24 "Minute Clinic CIR Block#1 "
10.237.251.0/24 "Minute Clinic CIR Block#1 "
10.237.252.0/24 "Minute Clinic CIR Block#1 "
10.237.253.0/24 "Minute Clinic CIR Block#1 "
10.237.254.0/24 "10.237.254.0 /24 Minute Clinic / 30 "
10.237.254.0/30 "Minute Clinic /30 "
10.237.254.100/30 "Minute Clinic /30 "
10.237.254.104/30 "Minute Clinic /30 "
10.237.254.108/30 "Minute Clinic /30 "
10.237.254.112/30 "Minute Clinic /30 "
10.237.254.116/30 "Minute Clinic /30 "
10.237.254.12/30 "Minute Clinic /30 "
10.237.254.120/30 "Minute Clinic /30 "
10.237.254.124/30 "Minute Clinic /30 "
10.237.254.128/30 "Minute Clinic /30 "
10.237.254.132/30 "Minute Clinic /30 "
10.237.254.136/30 "Minute Clinic /30 "
10.237.254.140/30 "Minute Clinic /30 "
10.237.254.144/30 "Minute Clinic /30 "
10.237.254.148/30 "Minute Clinic /30 "
10.237.254.152/30 "Minute Clinic /30 "
10.237.254.156/30 "Minute Clinic /30 "
10.237.254.16/30 "Minute Clinic /30 "
10.237.254.160/30 "Minute Clinic /30 "
10.237.254.164/30 "Minute Clinic /30 "
10.237.254.168/30 "Minute Clinic /30 "
10.237.254.172/30 "Minute Clinic /30 "
10.237.254.176/30 "Minute Clinic /30 "
10.237.254.180/30 "Minute Clinic /30 "
10.237.254.184/30 "Minute Clinic /30 "
10.237.254.188/30 "Minute Clinic /30 "
10.237.254.192/30 "Minute Clinic /30 "
10.237.254.196/30 "Minute Clinic /30 "
10.237.254.20/30 "Minute Clinic /30 "
10.237.254.200/30 "Minute Clinic /30 "
10.237.254.204/30 "Minute Clinic /30 "
10.237.254.208/30 "Minute Clinic /30 "
10.237.254.212/30 "Minute Clinic /30 "
10.237.254.216/30 "Minute Clinic /30 "
10.237.254.220/30 "Minute Clinic /30 "
10.237.254.224/30 "Minute Clinic /30 "
10.237.254.228/30 "Minute Clinic /30 "
10.237.254.232/30 "Minute Clinic /30 "
10.237.254.236/30 "Minute Clinic /30 "
10.237.254.24/30 "Minute Clinic /30 "
10.237.254.240/30 "Minute Clinic /30 "
10.237.254.244/30 "Minute Clinic /30 "
10.237.254.248/30 "Minute Clinic /30 "
10.237.254.252/30 "Minute Clinic /30 "
10.237.254.28/30 "Minute Clinic /30 "
10.237.254.32/30 "Minute Clinic /30 "
10.237.254.36/30 "Minute Clinic /30 "
10.237.254.4/30 "Minute Clinic /30 "
10.237.254.40/30 "Minute Clinic /30 "
10.237.254.44/30 "Minute Clinic /30 "
10.237.254.48/30 "Minute Clinic /30 "
10.237.254.52/30 "Minute Clinic /30 "
10.237.254.56/30 "Minute Clinic /30 "
10.237.254.60/30 "Minute Clinic /30 "
10.237.254.64/30 "Minute Clinic /30 "
10.237.254.68/30 "Minute Clinic /30 "
10.237.254.72/30 "Minute Clinic /30 "
10.237.254.76/30 "Minute Clinic /30 "
10.237.254.8/30 "Minute Clinic /30 "
10.237.254.80/30 "Minute Clinic /30 "
10.237.254.84/30 "Minute Clinic /30 "
10.237.254.88/30 "Minute Clinic /30 "
10.237.254.92/30 "Minute Clinic /30 "
10.237.254.96/30 "Minute Clinic /30 "
10.237.255.0/24 "Minute Clinic CIR Block#1 "
10.237.32.0/21 "Minute Clinic CIR Block#1 "
10.237.40.0/21 "Minute Clinic CIR Block#1 "
10.237.48.0/21 "Minute Clinic CIR Block#1 "
10.237.56.0/21 "Minute Clinic CIR Block#1 "
10.237.64.0/21 "Minute Clinic CIR Block#1 "
10.237.72.0/21 "Minute Clinic CIR Block#1 "
10.237.8.0/21 "Minute Clinic CIR Block#1 "
10.237.80.0/21 "Minute Clinic CIR Block#1 "
10.237.88.0/21 "Minute Clinic CIR Block#1 "
10.237.96.0/21 "Minute Clinic CIR Block#1 "
10.238.0.0/16 "10.238.0.0 /16 Minute Clinic CIR Block#2 "
10.238.0.0/27 "Minute Clinic /27 "
10.238.0.128/27 "Minute Clinic /27 "
10.238.0.160/27 "Minute Clinic CIR Block#2 "
10.238.0.192/27 "Minute Clinic CIR Block#2 "
10.238.0.224/27 "Minute Clinic CIR Block#2 "
10.238.0.32/27 "Minute Clinic /27 "
10.238.0.64/27 "Minute Clinic /27 "
10.238.0.96/27 "Minute Clinic /27 "
10.238.104.0/21 "Minute Clinic CIR Block#2 "
10.238.112.0/21 "Minute Clinic CIR Block#2 "
10.238.120.0/21 "Minute Clinic CIR Block#2 "
10.238.128.0/21 "Minute Clinic CIR Block#2 "
10.238.136.0/21 "Minute Clinic CIR Block#2 "
10.238.144.0/21 "Minute Clinic CIR Block#2 "
10.238.152.0/21 "Minute Clinic CIR Block#2 "
10.238.16.0/21 "10.238.0.0 /16 Minute Clinic CIR Block#2 "
10.238.160.0/21 "Minute Clinic CIR Block#2 "
10.238.168.0/21 "Minute Clinic CIR Block#2 "
10.238.176.0/21 "Minute Clinic CIR Block#2 "
10.238.184.0/21 "Minute Clinic CIR Block#2 "
10.238.192.0/21 "Minute Clinic CIR Block#2 "
10.238.200.0/21 "Minute Clinic CIR Block#2 "
10.238.208.0/21 "Minute Clinic CIR Block#2 "
10.238.216.0/21 "Minute Clinic CIR Block#2 "
10.238.224.0/21 "Minute Clinic CIR Block#2 "
10.238.232.0/21 "Minute Clinic CIR Block#2 "
10.238.24.0/21 "Minute Clinic CIR Block#2 "
10.238.240.0/21 "Minute Clinic CIR Block#2 "
10.238.32.0/21 "Minute Clinic CIR Block#2 "
10.238.40.0/21 "Minute Clinic CIR Block#2 "
10.238.48.0/21 "Minute Clinic CIR Block#2 "
10.238.56.0/21 "Minute Clinic CIR Block#2 "
10.238.64.0/21 "Minute Clinic CIR Block#2 "
10.238.72.0/21 "Minute Clinic CIR Block#2 "
10.238.80.0/21 "Minute Clinic CIR Block#2 "
10.238.88.0/21 "Minute Clinic CIR Block#2 "
10.238.96.0/21 "Minute Clinic CIR Block#2 "
10.239.0.0/16 "10.239.0.0 /16 Clinical Services Growth / LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.0.0/24 "test "
10.239.1.0/24 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.104.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.112.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.120.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.128.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.136.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.144.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.152.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.16.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.160.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.168.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.176.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.184.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.192.0/21 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
10.239.2.0/24 "LTE Offload prefixes to the stores to support return traffic over the backup LTE path "
