						
						
Subnet	Range	Realm	BU	Type	Location	Description
10.111.0.0/16	10.111.0.0 - 10.111.255.255	CVS	PBM	Branch-Office	Remote Sites	Irving TX Operations/Corp
10.112.128.0/17	10.112.128.0 - 10.112.255.255	CVS	PBM	Branch-Office	Remote Sites	Call Center - San Antonio TX ROCC
10.113.0.0/16	10.113.0.0 - 10.113.255.255	CVS	PBM	Branch-Office	Remote Sites	Call Center - San Antonio TX AD1 Mailorder/CC
10.120.0.0/16	10.120.0.0 - 10.120.255.255	CVS	PBM	Branch-Office	Remote Sites	Call Center - Lees Summit MO - Mixed with Omnicare
10.121.0.0/16	10.121.0.0 - 10.121.255.255	CVS	PBM	Branch-Office	Remote Sites	Call Center - Lees Summit MO - Mixed with Omnicare
10.122.0.0/16	10.122.0.0 - 10.122.255.255	CVS	Retail	Branch-Office	Remote Sites	Omnicare
10.125.0.0/16	10.125.0.0 - 10.125.255.255	CVS	PBM	Branch-Office	Remote Sites	Call Center - Cotton Center AZ
10.126.0.0/16	10.126.0.0 - 10.126.255.255	CVS	PBM	Branch-Office	Remote Sites	Phoenix ROCC Supernet
10.135.0.0/16	10.135.0.0 - 10.135.255.255	CVS	Retail	Branch-Office	Remote Sites	Retail RBO (Meraki) - Micro Office
10.136.0.0/16	10.136.0.0 - 10.136.255.255	CVS	Retail	Branch-Office	Meraki Micro Sites	Retail RBO (Meraki) - Micro Office
10.137.0.0/16	10.137.0.0 - 10.137.255.255	CVS	PBM	Branch-Office	Remote Sites	Retail RBO (Meraki) - Micro Office
10.145.0.0/16	10.145.0.0 - 10.145.255.255	CVS	PBM	Branch-Office	Remote Sites	MPLS - PE-CE Links
10.147.0.0/16	10.147.0.0 - 10.147.255.255	CVS	Retail	Branch-Office	Remote Sites	Regional Business Offices VOIP Networks
10.150.0.0/16	10.150.0.0 - 10.150.255.255	CVS	PBM	Branch-Office	Remote Sites	Call Center - FlorhamPark NJ
10.151.0.0/16	10.151.0.0 - 10.151.255.255	CVS	PBM	Branch-Office	Remote Sites	Call Center - Orlando FL
10.152.0.0/16	10.152.0.0 - 10.152.255.255	CVS	PBM	Branch-Office	Remote Sites	Corporate - Phoenix 444 North 44th st
10.153.0.0/16	10.153.0.0 - 10.153.255.255	CVS	Retail	Branch-Office	Remote Sites	Distribution Center - Fredericksburg
10.154.0.0/16	10.154.0.0 - 10.154.255.255	CVS	Retail	Branch-Office	Remote Sites	Distribution-Center Fredericksburgh
10.160.0.0/16	10.160.0.0 - 10.160.255.255	CVS	Retail	Branch-Office	Remote Sites	Corporate - Boston (Mixed with PBM Tualitin OR)
10.172.0.0/16	10.172.0.0 - 10.172.255.255	CVS	Retail	Branch-Office	Remote Sites	DistributionCenter - Lumberton
10.182.0.0/16	10.182.0.0 - 10.182.255.255	CVS	PBM	Branch-Office	Remote Sites	Call Center - LasVegas
10.183.0.0/16	10.183.0.0 - 10.183.255.255	CVS	Retail	Branch-Office	Remote Sites	DistributionCenter - Loudon
10.185.0.0/16	10.185.0.0 - 10.185.255.255	CVS	Retail	Branch-Office	Remote Sites	DistributionCenter - Indianapolis
10.187.0.0/16	10.187.0.0 - 10.187.255.255	CVS	Retail	Branch-Office	Remote Sites	DistributionCenter - Somerset
10.188.0.0/16	10.188.0.0 - 10.188.255.255	CVS	Retail	Branch-Office	Remote Sites	DistributionCenter - North Agusta
10.189.0.0/16	10.189.0.0 - 10.189.255.255	CVS	Retail	Branch-Office	Remote Sites	DistributionCenter - Ennis, Conroe
10.190.0.0/16	10.190.0.0 - 10.190.255.255	CVS	Retail	Branch-Office	Remote Sites	DistributionCenter - Woonsocket, Warwick, NorthSmithfield
10.191.0.0/16	10.191.0.0 - 10.191.255.255	CVS	Retail	Branch-Office	Remote Sites	DistributionCenter - Lumberton
10.192.0.0/16	10.192.0.0 - 10.192.255.255	CVS	Retail	Branch-Office	Remote Sites	Distribution Center - Davenport, Augusta, NorthAgusta, Orlando
10.193.0.0/16	10.193.0.0 - 10.193.255.255	CVS	Retail	Branch-Office	Remote Sites	DistributionCenter - Bessemer, Knoxville
10.194.0.0/16	10.194.0.0 - 10.194.255.255	CVS	Retail	Branch-Office	Remote Sites	DistributionCenter - Indianapolis, Greenfield
10.199.0.0/16	10.199.0.0 - 10.199.255.255	CVS	Retail	Branch-Office	Remote Sites	Loopback Addresses / Uplinks
10.202.0.0/16	10.202.0.0 - 10.202.255.255	CVS	Retail	Branch-Office	Remote Sites	Omnicare - DePlaines, IA
10.206.0.0/16	10.206.0.0 - 10.206.255.255	CVS	PBM	Branch-Office	Meraki Micro Sites	Retail RBO (Meraki) - Micro Office
10.213.0.0/16	10.213.0.0 - 10.213.255.255	CVS	Retail	Branch-Office	Remote Sites	DistributionCenter - Novi
10.215.0.0/16	10.215.0.0 - 10.215.255.255	CVS	Retail	Branch-Office	Remote Sites	Rhode Island Campus Nework User Networks
10.224.0.0/16	10.224.0.0 - 10.224.255.255	CVS	Retail	Branch-Office	Remote Sites	Omnicare
10.225.0.0/16	10.225.0.0 - 10.225.255.255	CVS	Retail	Branch-Office	Remote Sites	Omnicare
10.232.0.0/16	10.232.0.0 - 10.232.255.255	CVS	Retail	Branch-Office	Remote Sites	Omnicare
10.233.0.0/16	10.233.0.0 - 10.233.255.255	CVS	Retail	Branch-Office	Remote Sites	Omnicare
10.234.0.0/16	10.234.0.0 - 10.234.255.255	CVS	Retail	Branch-Office	Remote Sites	Omnicare
10.235.0.0/16	10.235.0.0 - 10.235.255.255	CVS	Retail	Branch-Office	Remote Sites	Omnicare
10.238.0.0/16	10.238.0.0 - 10.238.255.255	CVS	Retail	Branch-Office	Remote Sites	Minute Clinic
10.239.0.0/16	10.239.0.0 - 10.239.255.255	CVS	Retail	Branch-Office	Remote Sites	Clinical Services
10.240.0.0/16	10.240.0.0 - 10.240.255.255	CVS	Retail	Branch-Office	Remote Sites	Fortin - Print Shop
10.241.0.0/16	10.241.0.0 - 10.241.255.255	CVS	Retail	Branch-Office	Remote Sites	Minute Clinic
10.254.0.0/16	10.254.0.0 - 10.254.255.255	CVS	Retail	Branch-Office	Remote Sites	Innovation Lab
10.2.0.0/16	10.2.0.0 - 10.2.255.255	HCB	Aetna	Branch-Office	Remote Sites	Loopbacks
10.12.0.0/16	10.12.0.0 - 10.12.255.255	HCB	Aetna	Branch-Office	Remote Sites	Router Uplink
10.13.0.0/16	10.13.0.0 - 10.13.255.255	HCB	Aetna	Branch-Office	Remote Sites	Branch Switch Uplink
10.14.0.0/16	10.14.0.0 - 10.14.255.255	HCB	Aetna	Branch-Office	Remote Sites	Loopbacks
10.15.0.0/16	10.15.0.0 - 10.15.255.255	HCB	Aetna	Branch-Office	Remote Sites	Firewall Networks - Uplinks
10.22.0.0/16	10.22.0.0 - 10.22.255.255	HCB	Aetna	Branch-Office	Remote Sites	MPLS - AT&T PE-CE
10.23.0.0/16	10.23.0.0 - 10.23.255.255	HCB	Aetna	Branch-Office	Remote Sites	Aetna Remote Sites
10.41.0.0/16	10.41.0.1 - 10.41.255.254	HCB	Aetna	Branch-Office	Remote Sites	International MPLS PE-CE
10.50.0.0/16	10.50.0.1 - 10.50.255.254	HCB	Aetna	Branch-Office	Remote Sites	SD-WAN POC
10.80.0.0/16	10.80.0.1 - 10.80.255.254	HCB	Aetna	Branch-Office	Remote Sites	Aetna Remote Sites
10.96.0.0/16	10.96.0.1 - 10.96.255.254	HCB	Aetna	Branch-Office	Remote Sites	iTriage (Non Aetna) Network
10.101.0.0/16	10.101.0.1 - 10.101.255.254	HCB	Aetna	Branch-Office	Remote Sites	Aetna Remote Sites
10.106.0.0/16	10.106.0.1 - 10.106.255.254	HCB	Aetna	Branch-Office	Remote Sites	Firewall Networks
10.107.0.0/16	10.107.0.1 - 10.107.255.254	HCB	Aetna	Branch-Office	Remote Sites	Firewall Networks
10.108.0.0/16	10.108.0.1 - 10.108.255.254	HCB	Aetna	Branch-Office	Remote Sites	Firewall Networks
10.109.0.0/16	10.109.0.1 - 10.109.255.254	HCB	Aetna	Branch-Office	Remote Sites	Firewall Networks
10.115.0.0/16	10.115.0.1 - 10.115.255.254	HCB	Aetna	Branch-Office	Remote Sites	Branch Office - WiFi Subnets
10.116.0.0/16	10.116.0.1 - 10.116.255.254	HCB	Aetna	Branch-Office	Remote Sites	Branch Office - WiFi Subnets
10.130.0.0/16	10.130.0.1 - 10.130.255.254	HCB	Aetna	Branch-Office	Remote Sites	Branch Office - Farm1
10.132.0.0/16	10.132.0.1 - 10.132.255.254	HCB	Aetna	Branch-Office	Remote Sites	Aetna Remote Sites
10.140.0.0/16	10.140.0.1 - 10.140.255.254	HCB	Aetna	Branch-Office	Remote Sites	Branch Office - Farm2
10.146.0.0/16	10.146.0.1 - 10.146.255.254	HCB	Aetna	Branch-Office	Remote Sites	SD-WAN Underlay (VZN)
10.161.0.0/16	10.161.0.1 - 10.161.255.254	HCB	Aetna	Branch-Office	Remote Sites	Edge Networks
10.162.0.0/16	10.162.0.1 - 10.162.255.254	HCB	Aetna	Branch-Office	Remote Sites	Edge Networks
10.163.0.0/16	10.163.0.1 - 10.163.255.254	HCB	Aetna	Branch-Office	Remote Sites	Edge Networks
10.164.0.0/16	10.164.0.1 - 10.164.255.254	HCB	Aetna	Branch-Office	Remote Sites	Edge Networks
10.165.0.0/16	10.165.0.1 - 10.165.255.254	HCB	Aetna	Branch-Office	Remote Sites	Edge Networks
10.166.0.0/16	10.166.0.1 - 10.166.255.254	HCB	Aetna	Branch-Office	Remote Sites	Edge Networks
10.167.0.0/16	10.167.0.1 - 10.167.255.254	HCB	Aetna	Branch-Office	Remote Sites	Edge Networks
10.169.0.0/16	10.169.0.1 - 10.169.255.254	HCB	Aetna	Branch-Office	Remote Sites	All-In-One Ranges
10.170.0.0/16	10.170.0.1 - 10.170.255.254	HCB	Aetna	Branch-Office	Remote Sites	All-In-One Ranges
10.171.0.0/16	10.171.0.1 - 10.171.255.254	HCB	Aetna	Branch-Office	Remote Sites	All-In-One Ranges
10.184.0.0/16	10.184.0.1 - 10.184.255.254	HCB	Aetna	Branch-Office	Remote Sites	Hartford Edge Network
10.186.0.0/16	10.186.0.1 - 10.186.255.254	HCB	Aetna	Branch-Office	Remote Sites	Bluebell Campus Edge Network
10.196.0.0/16	10.196.0.1 - 10.196.255.254	HCB	Aetna	Branch-Office	Remote Sites	Branch Office - VOIP Networks
10.197.0.0/16	10.197.0.1 - 10.197.255.254	HCB	Aetna	Branch-Office	Remote Sites	Branch Office - VOIP Networks
10.198.0.0/16	10.198.0.1 - 10.198.255.254	HCB	Aetna	Branch-Office	Remote Sites	Branch Office - VOIP Networks
10.201.0.0/16	10.201.0.1 - 10.201.255.254	HCB	Aetna	Branch-Office	Remote Sites	NEW Branch Voice VLANs
10.211.0.0/16	10.211.0.1 - 10.211.255.254	HCB	Aetna	Branch-Office	Remote Sites	Aetna Remote Sites
10.212.0.0/16	10.212.0.1 - 10.212.255.254	HCB	Aetna	Branch-Office	Remote Sites	Aetna Remote Sites
10.216.0.0/16	10.216.0.1 - 10.216.255.254	HCB	Aetna	Branch-Office	Remote Sites	Hartford Campus VOIP Network
10.246.0.0/16	10.246.0.1 - 10.246.255.254	HCB	Aetna	Branch-Office	Remote Sites	SDWAN Underlay (ATT)
10.11.0.0/16	10.11.0.1 - 10.11.255.254	Shared	Retail	Branch-Office	2100	Cumberland CC
10.97.0.0/16	10.97.0.1 - 10.97.255.254	Shared	PBM	Branch-Office	Remote Sites	Shea Corp Usr Wireless
10.195.0.0/16	10.195.0.1 - 10.195.255.254	Shared	Retail	Branch-Office	Remote Sites	PBM MISC
10.218.0.0/16	10.218.0.1 - 10.218.255.254	Shared	PBM	Branch-Office	Remote Sites	Various MPLS/WAN
10.68.0.0/16	10.68.0.1 - 10.68.255.254	CVS	Retail	Cloud	Cloud	Azure (Secure Hub)
10.73.0.0/20	10.73.0.1 - 10.73.15.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.16.0/21	10.73.16.1 - 10.73.23.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.24.0/22	10.73.24.1 - 10.73.27.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.28.0/22	10.73.28.1 - 10.73.31.254	CVS	PBM	Cloud	Cloud	PING Authentication
10.73.32.0/22	10.73.32.1 - 10.73.35.254	CVS	PBM	Cloud	Cloud	PING Authentication
10.73.36.0/22	10.73.36.1 - 10.73.39.254	CVS	PBM	Cloud	Cloud	PING Authentication
10.73.40.0/22	10.73.40.1 - 10.73.43.254	CVS	PBM	Cloud	Cloud	PING Authentication
10.73.44.0/22	10.73.44.1 - 10.73.47.254	CVS	PBM	Cloud	Cloud	PING Authentication
10.73.48.0/22	10.73.48.1 - 10.73.51.254	CVS	PBM	Cloud	Cloud	PING Authentication
10.73.52.0/22	10.73.52.1 - 10.73.55.254	CVS	PBM	Cloud	Cloud	PING Authentication
10.73.56.0/23	10.73.56.1 - 10.73.57.254	CVS	PBM	Cloud	Cloud	WMS Manhattan
10.73.58.0/23	10.73.58.1 - 10.73.59.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.60.0/23	10.73.60.1 - 10.73.61.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.62.0/23	10.73.62.1 - 10.73.63.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.64.0/26	10.73.64.1 - 10.73.64.62	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.64.64/27	10.73.64.65 - 10.73.64.94	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.64.96/28	10.73.64.97 - 10.73.64.110	CVS	PBM	Cloud	Cloud	GCP - teraprod-clustftd | teraprod-ftd
10.73.64.112/28	10.73.64.113 - 10.73.64.126	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.64.128/26	10.73.64.129 - 10.73.64.190	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.64.192/27	10.73.64.193 - 10.73.64.222	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.64.224/28	10.73.64.225 - 10.73.64.238	CVS	PBM	Cloud	Cloud	GCP - teraprod-clustftd | teraprod-ftd
10.73.64.240/28	10.73.64.241 - 10.73.64.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.65.0/26	10.73.65.1 - 10.73.65.62	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.65.64/27	10.73.65.65 - 10.73.65.94	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.65.96/28	10.73.65.97 - 10.73.65.110	CVS	PBM	Cloud	Cloud	GCP - teraprod-clustftd | teraprod-ftd
10.73.65.112/28	10.73.65.113 - 10.73.65.126	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.65.128/26	10.73.65.129 - 10.73.65.190	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.65.192/27	10.73.65.193 - 10.73.65.222	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.65.224/28	10.73.65.225 - 10.73.65.238	CVS	PBM	Cloud	Cloud	GCP - teraprod-clustftd | teraprod-ftd
10.73.65.240/28	10.73.65.241 - 10.73.65.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.66.0/23	10.73.66.1 - 10.73.67.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.68.0/22	10.73.68.1 - 10.73.71.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.72.0/21	10.73.72.1 - 10.73.79.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.80.0/20	10.73.80.1 - 10.73.95.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.96.0/19	10.73.96.1 - 10.73.127.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.73.128.0/17	10.73.128.1 - 10.73.255.254	CVS	PBM	Cloud	Cloud	3rd Party Cloud Environments
10.74.0.0/16	10.74.0.1 - 10.74.255.254	CVS	PBM	Cloud	Cloud	Azure - West
10.82.0.0/16	10.82.0.1 - 10.82.255.254	CVS	PBM	Cloud	Cloud	Azure (Secure Hub)
10.83.0.0/16	10.83.0.1 - 10.83.255.254	CVS	PBM	Cloud	Cloud	Azure
10.85.0.0/16	10.85.0.1 - 10.85.255.254	CVS	PBM	Cloud	Cloud	Azure Secure Hub(CVS)
10.112.0.0/17	10.112.0.1 - 10.112.127.254	CVS	PBM	Cloud	Cloud	Cloud Network
10.114.0.0/18	10.114.0.1 - 10.114.63.254	CVS	PBM	Cloud	Cloud	GCP - SecureHub Non Prod
10.114.64.0/18	10.114.64.1 - 10.114.127.254	CVS	PBM	Cloud	Cloud	GCP - SecureHub Non Prod
10.114.128.0/17	10.114.128.1 - 10.114.255.254	CVS	PBM	Cloud	Cloud	GCP - SecureHub Non Prod
10.117.0.0/16	10.117.0.1 - 10.117.255.254	CVS	PBM	Cloud	Cloud	GCP PCI and SHUB expansion(CVS)
10.133.0.0/16	10.133.0.1 - 10.133.255.254	CVS	Retail	Cloud	Cloud	Rxconnect - Skytap
10.143.0.0/16	10.143.0.1 - 10.143.255.254	CVS	PBM	Cloud	Cloud	GCP
10.149.0.0/17	10.149.0.1 - 10.149.127.254	CVS	PBM	Cloud	Cloud	GCP
10.149.128.0/17	10.149.128.1 - 10.149.255.254	CVS	PBM	Cloud	Cloud	GCP
10.155.0.0/16	10.155.0.1 - 10.155.255.254	CVS	PBM	Cloud	Cloud	Azure - SecureHub
10.158.0.0/16	10.158.0.1 - 10.158.255.254	CVS	PBM	Cloud	Cloud	GCP
10.173.0.0/16	10.173.0.1 - 10.173.255.254	CVS	PBM	Cloud	Cloud	AWS
10.175.0.0/16	10.175.0.1 - 10.175.255.254	CVS	PBM	Cloud	Cloud	Azure
10.207.0.0/16	10.207.0.1 - 10.207.255.254	CVS	PBM	Cloud	Cloud	Azure - NonProd (East/West3)
10.223.0.0/16	10.223.0.1 - 10.223.255.254	CVS	PBM	Cloud	Cloud	Azure
10.229.0.0/16	10.229.0.1 - 10.229.255.254	CVS	PBM	Cloud	Cloud	Azure - SecureHub Non Prod
10.236.0.0/17	10.236.0.1 - 10.236.127.254	CVS	PBM	Cloud	Cloud	GCP - SecureHub Prod
10.236.128.0/18	10.236.128.1 - 10.236.191.254	CVS	PBM	Cloud	Cloud	GCP - SecureHub Non Prod
10.236.192.0/24	10.236.192.1 - 10.236.192.254	CVS	PBM	Cloud	Cloud	GCP - SecureHub Non Prod
10.236.193.0/24	10.236.193.1 - 10.236.193.254	CVS	PBM	Cloud	Cloud	GCP
10.236.194.0/26	10.236.194.1 - 10.236.194.62	CVS	PBM	Cloud	Cloud	GCP - SecureHub Non Prod
10.236.194.64/26	10.236.194.65 - 10.236.194.126	CVS	PBM	Cloud	Cloud	GCP
10.236.194.128/29	10.236.194.129 - 10.236.194.134	CVS	PBM	Cloud	Cloud	GCP
10.236.194.136/29	10.236.194.137 - 10.236.194.142	CVS	PBM	Cloud	Cloud	GCP - SecureHub Prod
10.236.194.144/28	10.236.194.145 - 10.236.194.158	CVS	PBM	Cloud	Cloud	GCP
10.236.194.160/27	10.236.194.161 - 10.236.194.190	CVS	PBM	Cloud	Cloud	GCP
10.236.194.192/26	10.236.194.193 - 10.236.194.254	CVS	PBM	Cloud	Cloud	GCP
10.236.195.0/25	10.236.195.1 - 10.236.195.126	CVS	PBM	Cloud	Cloud	GCP
10.236.195.128/25	10.236.195.129 - 10.236.195.254	CVS	PBM	Cloud	Cloud	GCP - SecureHub Prod
10.236.196.0/26	10.236.196.1 - 10.236.196.62	CVS	PBM	Cloud	Cloud	GCP
10.236.196.64/26	10.236.196.65 - 10.236.196.126	CVS	PBM	Cloud	Cloud	GCP - SecureHub Prod
10.236.196.128/25	10.236.196.129 - 10.236.196.254	CVS	PBM	Cloud	Cloud	GCP
10.236.197.0/24	10.236.197.1 - 10.236.197.254	CVS	PBM	Cloud	Cloud	GCP
10.236.198.0/24	10.236.198.1 - 10.236.198.254	CVS	PBM	Cloud	Cloud	GCP
10.236.199.0/26	10.236.199.1 - 10.236.199.62	CVS	PBM	Cloud	Cloud	GCP
10.236.199.64/27	10.236.199.65 - 10.236.199.94	CVS	PBM	Cloud	Cloud	GCP - SecureHub Non Prod
10.236.199.96/27	10.236.199.97 - 10.236.199.126	CVS	PBM	Cloud	Cloud	GCP
10.236.199.128/26	10.236.199.129 - 10.236.199.190	CVS	PBM	Cloud	Cloud	GCP
10.236.199.192/27	10.236.199.193 - 10.236.199.222	CVS	PBM	Cloud	Cloud	GCP - SecureHub Prod
10.236.199.224/27	10.236.199.225 - 10.236.199.254	CVS	PBM	Cloud	Cloud	GCP
10.236.200.0/21	10.236.200.1 - 10.236.207.254	CVS	PBM	Cloud	Cloud	GCP
10.236.208.0/21	10.236.208.1 - 10.236.215.254	CVS	PBM	Cloud	Cloud	GCP - SecureHub Non Prod
10.236.216.0/21	10.236.216.1 - 10.236.223.254	CVS	PBM	Cloud	Cloud	GCP
10.236.224.0/21	10.236.224.1 - 10.236.231.254	CVS	PBM	Cloud	Cloud	GCP
10.236.232.0/21	10.236.232.1 - 10.236.239.254	CVS	PBM	Cloud	Cloud	GCP - SecureHub Prod
10.236.240.0/22	10.236.240.1 - 10.236.243.254	CVS	PBM	Cloud	Cloud	GCP
10.236.244.0/26	10.236.244.1 - 10.236.244.62	CVS	PBM	Cloud	Cloud	GCP
10.236.244.64/27	10.236.244.65 - 10.236.244.94	CVS	PBM	Cloud	Cloud	GCP
10.236.244.96/28	10.236.244.97 - 10.236.244.110	CVS	PBM	Cloud	Cloud	GCP
10.236.244.112/29	10.236.244.113 - 10.236.244.118	CVS	PBM	Cloud	Cloud	GCP
10.236.244.120/29	10.236.244.121 - 10.236.244.126	CVS	PBM	Cloud	Cloud	GCP - SecureHub Non Prod
10.236.244.128/26	10.236.244.129 - 10.236.244.190	CVS	PBM	Cloud	Cloud	GCP
10.236.244.192/27	10.236.244.193 - 10.236.244.222	CVS	PBM	Cloud	Cloud	GCP - SecureHub Non Prod
10.236.244.224/27	10.236.244.225 - 10.236.244.254	CVS	PBM	Cloud	Cloud	GCP
10.236.245.0/25	10.236.245.1 - 10.236.245.126	CVS	PBM	Cloud	Cloud	GCP
10.236.245.128/27	10.236.245.129 - 10.236.245.158	CVS	PBM	Cloud	Cloud	GCP
10.236.245.160/27	10.236.245.161 - 10.236.245.190	CVS	PBM	Cloud	Cloud	GCP - SecureHub Prod
10.236.245.192/27	10.236.245.193 - 10.236.245.222	CVS	PBM	Cloud	Cloud	GCP
10.236.245.224/27	10.236.245.225 - 10.236.245.254	CVS	PBM	Cloud	Cloud	GCP - SecureHub Prod
10.236.246.0/24	10.236.246.1 - 10.236.246.254	CVS	PBM	Cloud	Cloud	GCP
10.236.247.0/25	10.236.247.1 - 10.236.247.126	CVS	PBM	Cloud	Cloud	GCP
10.236.247.128/26	10.236.247.129 - 10.236.247.190	CVS	PBM	Cloud	Cloud	GCP
10.236.247.192/27	10.236.247.193 - 10.236.247.222	CVS	PBM	Cloud	Cloud	GCP - SecureHub Non Prod
10.236.247.224/27	10.236.247.225 - 10.236.247.254	CVS	PBM	Cloud	Cloud	GCP
10.236.248.0/21	10.236.248.1 - 10.236.255.254	CVS	PBM	Cloud	Cloud	GCP
10.242.0.0/16	10.242.0.1 - 10.242.255.254	CVS	PBM	Cloud	Cloud	Azure
